path,label,changes
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MapView,375
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,NodeView,301
freeplane\src\org\freeplane\view\swing\map\MapView.java,MapView,279
freeplane\src\org\freeplane\view\swing\map\NodeView.java,NodeView,262
freeplane\src\org\freeplane\view\swing\map\MainView.java,MainView,207
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,MainView,178
freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,MModeControllerFactory,159
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,MMapController,145
freeplane\src\main\java\org\freeplane\view\swing\map\VerticalNodeViewLayoutStrategy.java,VerticalNodeViewLayoutStrategy,140
freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,FreeplaneStarter,135
freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,ScrollableTreePanel,135
freeplane\src\main\java\org\freeplane\features\ui\FrameController.java,FrameController,124
freeplane\src\main\java\org\freeplane\features\map\MapController.java,MapController,119
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,MenuBuilder,116
freeplane\src\main\java\org\freeplane\main\application\FreeplaneGUIStarter.java,FreeplaneGUIStarter,116
freeplane\src\main\java\org\freeplane\features\filter\FilterController.java,FilterController,113
freeplane_plugin_script\src\org\freeplane\plugin\script\proxy\Proxy.java,Proxy,112
freeplane\src\org\freeplane\core\frame\ViewController.java,ViewController,109
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,MIconController,105
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,MTextController,105
freeplane\src\org\freeplane\view\swing\map\NodeViewFactory.java,NodeViewFactory,101
freeplane\src\org\freeplane\view\swing\map\NodeViewLayoutAdapter.java,NodeViewLayoutAdapter,101
freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,MFileManager,100
freeplane\src\org\freeplane\core\ui\components\UITools.java,UITools,99
freeplane\src\org\freeplane\view\swing\map\attribute\AttributeTable.java,AttributeTable,99
freeplane\src\org\freeplane\main\application\ApplicationViewController.java,ApplicationViewController,99
freeplane\src\main\java\org\freeplane\features\link\LinkController.java,LinkController,97
freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MFileManager.java,MFileManager,95
freeplane\src\org\freeplane\view\swing\ui\DefaultNodeMouseMotionListener.java,DefaultNodeMouseMotionListener,93
freeplane\src\main\java\org\freeplane\features\styles\MapStyle.java,MapStyle,92
freeplane\src\main\java\org\freeplane\view\swing\map\mindmapmode\EditNodeTextField.java,EditNodeTextField,91
freeplane\src\org\freeplane\view\swing\map\mindmapmode\EditNodeTextField.java,EditNodeTextField,90
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,TagCategoryEditor,89
freeplane\src\org\freeplane\features\mindmapmode\text\MTextController.java,MTextController,87
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,NodeProxy,85
freeplane\src\org\freeplane\main\application\LastOpenedList.java,LastOpenedList,84
freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,MapViewController,82
freeplane\src\org\freeplane\features\common\link\LinkController.java,LinkController,80
freeplane\src\org\freeplane\features\mindmapmode\note\MNoteController.java,MNoteController,79
freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTable.java,AttributeTable,79
freeplane\src\main\java\org\freeplane\features\map\NodeModel.java,NodeModel,78
freeplane_plugin_script\src\org\freeplane\plugin\script\ScriptingRegistration.java,ScriptingRegistration,77
freeplane_plugin_script\src\org\freeplane\plugin\script\ScriptingEngine.java,ScriptingEngine,76
freeplane_plugin_script\src\org\freeplane\plugin\script\proxy\NodeProxy.java,NodeProxy,75
freeplane\src\main\java\org\freeplane\core\ui\components\UITools.java,UITools,75
freeplane\src\org\freeplane\core\resources\ResourceController.java,ResourceController,74
freeplane\src\org\freeplane\features\mindmapmode\link\MLinkController.java,MLinkController,74
freeplane\src\org\freeplane\view\swing\ui\UserInputListenerFactory.java,UserInputListenerFactory,74
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,TagCategories,74
freeplane\src\org\freeplane\view\swing\map\EditNodeTextField.java,EditNodeTextField,72
freeplane\src\main\java\org\freeplane\main\mindmapmode\MModeControllerFactory.java,MModeControllerFactory,72
freeplane\src\org\freeplane\features\map\mindmapmode\MMapController.java,MMapController,71
freeplane\src\main\java\org\freeplane\view\swing\features\time\mindmapmode\nodelist\NodeList.java,NodeList,71
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagEditor.java,TagEditor,71
freeplane\src\org\freeplane\main\browsemode\BModeControllerFactory.java,BModeControllerFactory,70
freeplane\src\org\freeplane\core\modecontroller\MapController.java,MapController,69
freeplane\src\main\java\org\freeplane\main\application\MapViewDockingWindows.java,MapViewDockingWindows,69
freeplane\src\org\freeplane\main\mindmapmode\stylemode\SModeControllerFactory.java,SModeControllerFactory,68
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapAwareOutlinePane.java,MapAwareOutlinePane,67
freeplane\src\main\java\org\freeplane\features\styles\MapStyleModel.java,MapStyleModel,66
freeplane\src\main\java\org\freeplane\features\text\TextController.java,TextController,66
freeplane\src\org\freeplane\core\url\UrlManager.java,UrlManager,64
freeplane\src\org\freeplane\view\swing\map\RootMainView.java,RootMainView,63
freeplane\src\org\freeplane\main\applet\FreeplaneApplet.java,FreeplaneApplet,63
freeplane\src\org\freeplane\core\controller\Controller.java,Controller,62
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,MMapController,62
freeplane\src\org\freeplane\view\swing\map\MapViewController.java,MapViewController,62
freeplane\src\main\java\org\freeplane\view\swing\ui\UserInputListenerFactory.java,UserInputListenerFactory,62
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\StyleEditorPanel.java,StyleEditorPanel,62
freeplane\src\org\freeplane\core\filter\FilterController.java,FilterController,61
freeplane\src\org\freeplane\view\swing\ui\mindmapmode\MNodeMotionListener.java,MNodeMotionListener,60
freeplane\src\org\freeplane\features\text\mindmapmode\MTextController.java,MTextController,60
freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewFactory.java,NodeViewFactory,60
freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MNodeDropListener,60
freeplane\src\org\freeplane\features\mindmapmode\icon\MIconController.java,MIconController,59
