file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,MapView,NodeView,89,375,301
freeplane\src\org\freeplane\view\swing\map\MainView.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,MainView,NodeView,80,207,262
freeplane\src\org\freeplane\view\swing\map\MapView.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,MapView,NodeView,79,279,262
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,MainView,NodeView,58,178,301
freeplane\src\org\freeplane\main\browsemode\BModeControllerFactory.java,freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,BModeControllerFactory,MModeControllerFactory,56,70,159
freeplane\src\org\freeplane\view\swing\map\MainView.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,MainView,MapView,55,207,279
freeplane\src\org\freeplane\view\swing\map\NodeView.java,freeplane\src\org\freeplane\view\swing\map\NodeViewFactory.java,NodeView,NodeViewFactory,53,262,101
freeplane_plugin_script\src\org\freeplane\plugin\script\proxy\NodeProxy.java,freeplane_plugin_script\src\org\freeplane\plugin\script\proxy\Proxy.java,NodeProxy,Proxy,49,75,112
freeplane\src\org\freeplane\view\swing\map\NodeView.java,freeplane\src\org\freeplane\view\swing\map\NodeViewLayoutAdapter.java,NodeView,NodeViewLayoutAdapter,47,262,101
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,BreadcrumbPanel,ScrollableTreePanel,47,57,135
freeplane\src\org\freeplane\view\swing\map\MainView.java,freeplane\src\org\freeplane\view\swing\map\RootMainView.java,MainView,RootMainView,44,207,63
freeplane\src\org\freeplane\main\browsemode\BModeControllerFactory.java,freeplane\src\org\freeplane\main\filemode\FModeControllerFactory.java,BModeControllerFactory,FModeControllerFactory,44,70,52
freeplane\src\org\freeplane\main\filemode\FModeControllerFactory.java,freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,FModeControllerFactory,MModeControllerFactory,44,52,159
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\core\frame\ViewController.java,Controller,ViewController,42,62,109
freeplane\src\org\freeplane\view\swing\map\MainView.java,freeplane\src\org\freeplane\view\swing\ui\DefaultNodeMouseMotionListener.java,MainView,DefaultNodeMouseMotionListener,42,207,93
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,ViewController,MapView,41,109,279
freeplane\src\org\freeplane\features\common\edge\EdgeController.java,freeplane\src\org\freeplane\features\common\nodestyle\NodeStyleController.java,EdgeController,NodeStyleController,41,52,58
