file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,MapView,NodeView,75,315,241
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,BreadcrumbPanel,ScrollableTreePanel,47,57,135
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,MainView,NodeView,46,135,241
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,BlockPanel,ScrollableTreePanel,34,37,135
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapAwareOutlinePane.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,MapAwareOutlinePane,ScrollableTreePanel,33,67,135
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,TagCategories,TagCategoryEditor,32,74,89
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,OutlinePane,ScrollableTreePanel,30,39,135
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MainView,MapView,28,135,315
freeplane\src\main\java\org\freeplane\features\map\MapController.java,freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,MapController,MMapController,27,94,92
freeplane\src\main\java\org\freeplane\features\ui\IMapViewManager.java,freeplane\src\main\java\org\freeplane\main\headlessmode\HeadlessMapViewController.java,IMapViewManager,HeadlessMapViewController,27,31,29
freeplane\src\main\java\org\freeplane\features\ui\IMapViewManager.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,IMapViewManager,MapViewController,27,31,70
freeplane_api\src\main\java\org\freeplane\api\NodeRO.java,freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,NodeRO,NodeProxy,27,47,69
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane\src\main\java\org\freeplane\view\swing\map\VerticalNodeViewLayoutStrategy.java,NodeView,VerticalNodeViewLayoutStrategy,27,241,117
freeplane\src\main\java\org\freeplane\main\headlessmode\HeadlessMapViewController.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,HeadlessMapViewController,MapViewController,26,29,70
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,BlockPanel,BreadcrumbPanel,26,37,57
freeplane_api\src\main\java\org\freeplane\api\Node.java,freeplane_api\src\main\java\org\freeplane\api\NodeRO.java,Node,NodeRO,25,27,47
freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewLayoutHelper.java,freeplane\src\main\java\org\freeplane\view\swing\map\VerticalNodeViewLayoutStrategy.java,NodeViewLayoutHelper,VerticalNodeViewLayoutStrategy,25,40,117
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NavigationButtons.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,NavigationButtons,ScrollableTreePanel,24,32,135
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineController.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,OutlineController,ScrollableTreePanel,24,25,135
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagEditor.java,TagCategoryEditor,TagEditor,23,89,71
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NodePositioning.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,NodePositioning,ScrollableTreePanel,23,26,135
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewLayoutHelper.java,NodeView,NodeViewLayoutHelper,21,241,40
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagEditor.java,MIconController,TagEditor,21,90,71
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineViewport.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,OutlineViewport,ScrollableTreePanel,21,24,135
freeplane_api\src\main\java\org\freeplane\api\Node.java,freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,Node,NodeProxy,20,27,69
freeplane\src\main\java\org\freeplane\features\map\MapController.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MapController,MapView,18,94,315
freeplane\src\main\java\org\freeplane\view\swing\map\MapScroller.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MapScroller,MapView,18,39,315
freeplane\src\main\java\org\freeplane\features\ui\FrameController.java,freeplane\src\main\java\org\freeplane\features\ui\ViewController.java,FrameController,ViewController,18,101,24
freeplane\src\main\java\org\freeplane\features\commandsearch\MenuItem.java,freeplane\src\main\java\org\freeplane\features\commandsearch\PreferencesItem.java,MenuItem,PreferencesItem,18,20,24
freeplane\src\main\java\org\freeplane\features\styles\MapStyle.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MapStyle,MapView,18,83,315
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ClassNode.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeNode.java,ClassNode,CodeNode,18,22,36
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ClassesNode.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\PackageNode.java,ClassesNode,PackageNode,18,24,28
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,MIconController,TagCategoryEditor,18,90,89
freeplane\src\main\java\org\freeplane\features\map\IMapSelection.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,IMapSelection,MapView,17,19,315
freeplane\src\main\java\org\freeplane\features\note\NoteController.java,freeplane\src\main\java\org\freeplane\features\text\TextController.java,NoteController,TextController,17,27,51
freeplane_plugin_latex\src\main\java\org\freeplane\plugin\latex\LatexRenderer.java,freeplane_plugin_markdown\src\main\java\org\freeplane\plugin\markdown\MarkdownRenderer.java,LatexRenderer,MarkdownRenderer,17,28,27
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeExplorerConfigurator.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeProjectController.java,CodeExplorerConfigurator,CodeProjectController,17,51,34
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\task\CodeExplorerConfiguration.java,CodeMapController,CodeExplorerConfiguration,17,50,25
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,BreadcrumbPanel,OutlinePane,17,57,39
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineController.java,BreadcrumbPanel,OutlineController,17,57,25
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineBlockLayout.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,OutlineBlockLayout,ScrollableTreePanel,17,18,135
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,MapView,MapViewController,16,315,70
freeplane_plugin_formula\src\main\java\org\freeplane\plugin\formula\FormulaTextTransformer.java,freeplane_plugin_latex\src\main\java\org\freeplane\plugin\latex\LatexRenderer.java,FormulaTextTransformer,LatexRenderer,16,28,28
freeplane\src\main\java\org\freeplane\features\map\NodeModel.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,NodeModel,NodeView,16,55,241
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,freeplane\src\main\java\org\freeplane\features\map\mindmapmode\clipboard\MMapClipboardController.java,MMapController,MMapClipboardController,16,92,59
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\MainViewPainter.java,MainView,MainViewPainter,16,135,24
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ClassesNode.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeNode.java,ClassesNode,CodeNode,16,24,36
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeNode.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ProjectRootNode.java,CodeNode,ProjectRootNode,16,36,31
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineGeometry.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,OutlineGeometry,ScrollableTreePanel,16,21,135
